"institute.name","School.board","City.x","School.Code","School.Name","Board.Name","City.y","mm","city_match"
"Willow Road Public School","Upper Grand DSB","Guelph","609552","Willow Road Public School","Upper Grand DSB","Guelph",0,TRUE
"Lo-Ellen Park Secondary School","Rainbow DSB","Sudbury","923486","Lo-Ellen Park Secondary School","Rainbow DSB","Sudbury",0,TRUE
"ÉSC Nouvelle-Alliance","CSC MonAvenir","Barrie","740390","ÉSC Nouvelle-Alliance","CS catholique MonAvenir","Barrie",0,TRUE
"Hagersville Secondary School","Grand Erie DSB","Hagersville","915033","Hagersville Secondary School","Grand Erie DSB","Hagersville",0,TRUE
"McKinnon Park Secondary School","Grand Erie DSB","Caledonia","898007","McKinnon Park Secondary School","Grand Erie DSB","Caledonia",0,TRUE
"Herman Street Public School","Renfrew County DSB","Petawawa","253472","Herman Street Public School","Renfrew County DSB","Petawawa",0,TRUE
"Nantyr Shores Secondary School","Simcoe County DSB","Innisfil","927724","Nantyr Shores Secondary School","Simcoe County DSB","Innisfil",0,TRUE
"Loretto College School","Toronto CDSB","Toronto","728063","Loretto College School","Toronto CDSB","Toronto",0,TRUE
"Cathedral High School","Hamilton-Wentworth CDSB","Hamilton","695343","Cathedral High School","Hamilton-Wentworth CDSB","Hamilton",0,TRUE
"Holy Spirit Catholic Elementary School","Waterloo CDSB","Cambridge","720208","Holy Spirit Catholic Elementary School","Waterloo CDSB","Cambridge",0,TRUE
"Janet Metcalfe Public School","Waterloo Regional DSB","Kitchener","339451","Janet Metcalfe Public School","Waterloo Region DSB","Kitchener",0,TRUE
"Our Lady of Peace Catholic Elementary School","Halton CDSB","Oakville","749052","Our Lady of Peace Catholic Elementary School","Halton CDSB","Oakville",0,TRUE
"Anne J. MacArthur Public School","Halton DSB","Milton","251664","Anne J. MacArthur Public School","Halton DSB","Milton",0,TRUE
"John William Boich Public School","Halton DSB","Burlington","223746","John William Boich Public School","Halton DSB","Burlington",0,TRUE
"Dunnville Secondary School","Grand Erie DSB","Dunnville","906069","Dunnville Secondary School","Grand Erie DSB","Dunnville",0,TRUE
"Ottawa Islamic School","Private","Nepean","884146","Ottawa Islamic School","Private","Nepean",0,TRUE
"St. Gregory the Great Catholic Elementary School","Halton CDSB","Oakville","755052","St. Gregory the Great Catholic Elementary School","Halton CDSB","Oakville",0,TRUE
"St. Nicholas Catholic Elementary School","Halton CDSB","Oakville","798827","St. Nicholas Catholic Elementary School","Halton CDSB","Oakville",0,TRUE
"West Nissouri Public School","Thames Valley DSB","Thorndale","515008","West Nissouri Public School","Thames Valley DSB","Thorndale",0,TRUE
"Alcona Glen Elementary School","Simcoe County DSB","Innisfil","277495","Alcona Glen Elementary School","Simcoe County DSB","Innisfil",0,TRUE
"Lakeshore Catholic High School","Niagara CDSB","Port Colborne","726087","Lakeshore Catholic High School","Niagara CDSB","Port Colborne",0,TRUE
"St. Peter Catholic Elementary School","Halton CDSB","Milton","843989","St. Peter Catholic Elementary School","Halton CDSB","Milton",0,TRUE
"Pickering High School","Durham DSB","Ajax","935310","Pickering High School","Durham DSB","Ajax",0,TRUE
"St. Pius X Catholic Elementary School","Brant Haldimand Norfolk CDSB","Brantford","846791","St. Pius X Catholic Elementary School","Brant Haldimand Norfolk CDSB","Brantford",0,TRUE
"Roseland Public School","Greater Essex County DSB","Windsor","491217","Roseland Public School","Greater Essex County DSB","Windsor",0,TRUE
"Ryerson Heights Elementary School","Grand Erie DSB","Brantford","412984","Ryerson Heights Elementary School","Grand Erie DSB","Brantford",0,TRUE
"Manchester Public School","Waterloo Regional DSB","Cambridge","331708","Manchester Public School","Waterloo Region DSB","Cambridge",0,TRUE
"Avenue Road Public School","Waterloo Regional DSB","Cambridge","028541","Avenue Road Public School","Waterloo Region DSB","Cambridge",0,TRUE
"Eamer's Corners Public School","Upper Canada DSB","Cornwall","157376","Eamer's Corners Public School","Upper Canada DSB","Cornwall",0,TRUE
"Eagle Heights Public School","Thames Valley DSB","London","430242","Eagle Heights Public School","Thames Valley DSB","London",0,TRUE
"McNaughton Ave Public School","Lambton-Kent DSB","Chatham","356026","McNaughton Ave Public School","Lambton Kent DSB","Chatham",0,TRUE
"Hillcrest Public School","Simcoe County DSB","Barrie","257346","Hillcrest Public School","Simcoe County DSB","Barrie",0,TRUE
"Notre Dame College School","Niagara CDSB","Welland","740195","Notre Dame College School","Niagara CDSB","Welland",0,TRUE
"École élémentaire publique Rose des Vents","CEPEO","Cornwall","383392","École élémentaire publique Rose des Vents","CÉP de l'Est de l'Ontario","Cornwall",0,TRUE
"St. Benedict Catholic Elementary School","Halton CDSB","Milton","681054","St. Benedict Catholic Elementary School","Halton CDSB","Milton",0,TRUE
"St. David Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton","786152","St. David Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",0,TRUE
"Glen Dhu Public School","Durham DSB","Whitby","213829","Glen Dhu Public School","Durham DSB","Whitby",0,TRUE
"École secondaire publique L'Héritage","CEPEO","Cornwall","907464","École secondaire publique L'Héritage","CÉP de l'Est de l'Ontario","Cornwall",0,TRUE
"Notre Dame Catholic Secondary School","Halton CDSB","Burlington","738271","Notre Dame Catholic Secondary School","Halton CDSB","Burlington",0,TRUE
"Pilgrim Wood Public School","Halton DSB","Oakville","442011","Pilgrim Wood Public School","Halton DSB","Oakville",0,TRUE
"Chatham-Kent Secondary School","Lambton-Kent DSB","Chatham","919322","Chatham-Kent Secondary School","Lambton Kent DSB","Chatham",0,TRUE
"La Salle Secondary School","Limestone DSB","Kingston","920592","La Salle Secondary School","Limestone DSB","Kingston",0,TRUE
"Chris Hadfield Public School","Halton DSB","Milton","076970","Chris Hadfield Public School","Halton DSB","Milton",0,TRUE
"Southwood Secondary School","Waterloo Regional DSB","Cambridge","943894","Southwood Secondary School","Waterloo Region DSB","Cambridge",0,TRUE
"Janet Lee Public School","Hamilton-Wentworth DSB","Stoney Creek","281026","Janet Lee Public School","Hamilton-Wentworth DSB","Stoney Creek",0,TRUE
"Westminster Secondary School","Thames Valley DSB","London","952346","Westminster Secondary School","Thames Valley DSB","London",0,TRUE
"Bellewood Public School","Greater Essex County DSB","Windsor","041947","Bellewood Public School","Greater Essex County DSB","Windsor",0,TRUE
"Oakridge Secondary School","Thames Valley DSB","London","931934","Oakridge Secondary School","Thames Valley DSB","London",0,TRUE
"Our Lady of Fatima Catholic Elementary School","Waterloo CDSB","Cambridge","743186","Our Lady of Fatima Catholic Elementary School","Waterloo CDSB","Cambridge",0,TRUE
"Lincoln Heights Public School","Waterloo Regional DSB","Waterloo","313246","Lincoln Heights Public School","Waterloo Region DSB","Waterloo",0,TRUE
"Abraham Erb Public School","Waterloo Regional DSB","Waterloo","000671","Abraham Erb Public School","Waterloo Region DSB","Waterloo",0,TRUE
"Immaculate Conception Catholic Elementary School","Hamilton-Wentworth CDSB","Ancaster","819028","Immaculate Conception Catholic Elementary School","Hamilton-Wentworth CDSB","Ancaster",0,TRUE
"Fieldcrest Elementary School","Simcoe County DSB","Bradford","384550","Fieldcrest Elementary School","Simcoe County DSB","Bradford",0,TRUE
"Milton District High School","Halton DSB","Milton","926736","Milton District High School","Halton DSB","Milton",0,TRUE
"Holy Cross Catholic Secondary School","Algonquin & Lakeshore CDSB","Kingston","715298","Holy Cross Catholic Secondary School","Algonquin and Lakeshore CDSB","Kingston",0,TRUE
"Robert Baldwin Public School","Halton DSB","Milton","487252","Robert Baldwin Public School","Halton DSB","Milton",0,TRUE
"École élémentaire catholique Terre-des-Jeunes","CECCE","Ottawa","861480","École élémentaire catholique Terre-des-Jeunes","CSDC du Centre-Est de l'Ontario","Ottawa",0,TRUE
"St. Nicholas Catholic Elementary School","Halton CDSB","Oakville","798827","St. Nicholas Catholic Elementary School","Halton CDSB","Oakville",0,TRUE
"Island Lake Public School","Upper Grand DSB","Orangeville","418765","Island Lake Public School","Upper Grand DSB","Orangeville",0,TRUE
"Forest Glade Public School","Greater Essex County DSB","Windsor","201391","Forest Glade Public School","Greater Essex County DSB","Windsor",0,TRUE
"Riverside Secondary School","Greater Essex County DSB","Windsor","939218","Riverside Secondary School","Greater Essex County DSB","Windsor",0,TRUE
"Our Lady of Grace School","Simcoe Muskoka CDSB","Angus","744611","Our Lady of Grace School","Simcoe Muskoka CDSB","Angus",0,TRUE
"Nottawasaga Pines Secondary School","Simcoe County DSB","Angus","902636","Nottawasaga Pines Secondary School","Simcoe County DSB","Angus",0,TRUE
"Robert Munsch Public School","Durham DSB","Whitby","336001","Robert Munsch Public School","Durham DSB","Whitby",0,TRUE
"Sir Winston Churchill Secondary School","Niagara DSB","St Catharines","942464","Sir Winston Churchill Secondary School","DSB Niagara","St Catharines",0,TRUE
"Winston Churchill Public School","Lambton-Kent DSB","Chatham","615757","Winston Churchill Public School","Lambton Kent DSB","Chatham",0,TRUE
"Northeastern Elementary School","Rainbow DSB","Garson","410918","Northeastern Elementary School","Rainbow DSB","Garson",0,TRUE
"Mary Johnston Public School","Waterloo Regional DSB","Waterloo","345997","Mary Johnston Public School","Waterloo Region DSB","Waterloo",0,TRUE
"Sir Wilfrid Laurier Secondary School","Thames Valley DSB","London","942162","Sir Wilfrid Laurier Secondary School","Thames Valley DSB","London",0,TRUE
"Westmount Secondary School","Hamilton-Wentworth DSB","Hamilton","952478","Westmount Secondary School","Hamilton-Wentworth DSB","Hamilton",0,TRUE
"Vimy Ridge Public School","Durham DSB","Ajax","092886","Vimy Ridge Public School","Durham DSB","Ajax",0,TRUE
"Upper Canada College","Private","Toronto","886858","Upper Canada College","Private","Toronto",0,TRUE
"Bruce Trail Public School","Halton DSB","Milton","586248","Bruce Trail Public School","Halton DSB","Milton",0,TRUE
"Lakeshore Public School","Halton DSB","Burlington","304271","Lakeshore Public School","Halton DSB","Burlington",0,TRUE
"Warnica Public School","Simcoe County DSB","Barrie","586846","Warnica Public School","Simcoe County DSB","Barrie",0,TRUE
"St. Teresa of Calcutta Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton","733105","St. Teresa of Calcutta Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",0,TRUE
"Annunciation of Our Lord Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton","743868","Annunciation of Our Lord Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",0,TRUE
"Northdale Public School","Thames Valley DSB","Woodstock","410748","Northdale Public School","Thames Valley DSB","Woodstock",0,TRUE
"Delhi District Secondary School","Grand Erie DSB","Delhi","903728","Delhi District Secondary School","Grand Erie DSB","Delhi",0,TRUE
"Westvale Public School","Waterloo Regional DSB","Waterloo","602906","Westvale Public School","Waterloo Region DSB","Waterloo",0,TRUE
"Viola Desmond Public School","Durham DSB","Ajax","309061","Viola Desmond Public School","Durham DSB","Ajax",0,TRUE
"Williamsburg Public School","Durham DSB","Whitby","525960","Williamsburg Public School","Durham DSB","Whitby",0,TRUE
"Blessed Sacrament Catholic Elementary School","Waterloo CDSB","Kitchener","690767","Blessed Sacrament Catholic Elementary School","Waterloo CDSB","Kitchener",0,TRUE
"Langton Public School","Grand Erie DSB","Langton","097314","Langton Public School","Grand Erie DSB","Langton",0,TRUE
"Boyne Public School","Halton CDSB","Milton","124887","Boyne Public School","Halton DSB","Milton",0,TRUE
"Applecroft Public School","Durham DSB","Ajax","020036","Applecroft Public School","Durham DSB","Ajax",0,TRUE
"O'Neill Collegiate and Vocational Institute","Durham DSB","Oshawa","932329","O'Neill Collegiate and Vocational Institute","Durham DSB","Oshawa",0,TRUE
"St. John (Burlington) Catholic Elementary School","Durham DSB","Burlington","804410","St. John (Burlington) Catholic Elementary School","Halton CDSB","Burlington",0,TRUE
"Willow Landing Elementary School","Simcoe County DSB","Barrie","612405","Willow Landing Elementary School","Simcoe County DSB","Barrie",0,TRUE
"Waterdown District High School","Hamilton-Wentworth DSB","Waterdown","950653","Waterdown District High School","Hamilton-Wentworth DSB","Waterdown",0,TRUE
"St Martin Catholic Elementary School","Niagara CDSB","Smithville","823783","St Martin Catholic Elementary School","Niagara CDSB","Smithville",0,TRUE
"Burlington Central High School","Durham DSB","Burlington","897353","Burlington Central High School","Halton DSB","Burlington",0,TRUE
"Central Public School","TBA","Burlington","094455","Central Public School","Halton DSB","Burlington",0,TRUE
"Eastview Public School","Halton DSB","Oakville","164267","Eastview Public School","Halton DSB","Oakville",0,TRUE
"Westminster Woods Public School","Upper Grand DSB","Guelph","381646","Westminster Woods Public School","Upper Grand DSB","Guelph",0,TRUE
"St. John the Baptist Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton","804673","St. John the Baptist Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",0,TRUE
"Holy Name of Jesus Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton","717053","Holy Name of Jesus Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",0,TRUE
"Maryborough Public School","Upper Grand DSB","Moorefield","371483","Maryborough Public School","Upper Grand DSB","Moorefield",0,TRUE
"Glen Echo Junior Public School","Hamilton-Wentworth DSB","Hamilton","217301","Glen Echo Junior Public School","Hamilton-Wentworth DSB","Hamilton",0,TRUE
"St. Mary Catholic Elementary School","Halton CDSB","Oakville","681423","St. Mary Catholic Elementary School","Halton CDSB","Oakville",0,TRUE
"Woodland Park Public School","Waterloo Regional DSB","Cambridge","618810","Woodland Park Public School","Waterloo Region DSB","Cambridge",0,TRUE
"Preston Public School","Waterloo Regional DSB","Cambridge","095753","Preston Public School","Waterloo Region DSB","Cambridge",0,TRUE
"Alpine Public School","Waterloo Regional DSB","Kitchener","013900","Alpine Public School","Waterloo Region DSB","Kitchener",0,TRUE
"Lord Dorchester Secondary School","Thames Valley DSB","Dorchester","904503","Lord Dorchester Secondary School","Thames Valley DSB","Dorchester",0,TRUE
"Laurie Hawkins Public School","Thames Valley DSB","Ingersoll","438062","Laurie Hawkins Public School","Thames Valley DSB","Ingersoll",0,TRUE
"Spencer Valley Public School","Hamilton-Wentworth DSB","Greensville","526983","Spencer Valley Public School","Hamilton-Wentworth DSB","Greensville",0,TRUE
"A M Cunningham Junior Public School","Hamilton-Wentworth DSB","Hamilton","000728","A M Cunningham Junior Public School","Hamilton-Wentworth DSB","Hamilton",0,TRUE
"Vincent Massey Secondary School","Greater Essex County DSB","Windsor","949612","Vincent Massey Secondary School","Greater Essex County DSB","Windsor",0,TRUE
"Holy Name Catholic School","Toronto CDSB","Toronto","717444","Holy Name Catholic School","Toronto CDSB","Toronto",0,TRUE
"Sandhills Public School","Waterloo Regional DSB","Kitchener","497738","Sandhills Public School","Waterloo Region DSB","Kitchener",0,TRUE
